Actual,Message,Predicted
None,b'Apple&#39;s team of self-driving car experts https://seekingalpha.com/news/3259194?source=ansh $TSLA# $AAPL',None
None,b'Samsung: The Galaxy S8 Hits A Few Snags https://seekingalpha.com/article/4064767?source=ansh $SSNLF# $AAPL# $QCOM',None
None,b'$AAPL Tuesday Tech Wrap: Apple# Square# Jimmy Wales http://www.forbes.com/sites/parmyolson/2017/04/25/tuesday-tech-wrap-apple-square-jimmy-wales/?utm_source=yahoo&amp;utm_medium=partner&amp;utm_campaign=yahootix&amp;partner=yahootix&amp;yptr=yahoo via https://finzine.com',None
None,b'ChartGuys Technical Analysis Video 4/24/2017\n\nhttp://scalpthatstock.com/xlk-aapl-fb-technical-analysis-chart-4242017/\n\n$XLK $AAPL $FB',None
None,b'$AAPL Ftbit&#39;s new tagline. &quot;Feel the burn...&quot;',None
None,b'$AAPL Apple&#39;s Makes Key Hardware Hires For New Initiatives http://www.investopedia.com/news/apples-makes-key-hardware-hires-new-initiatives-aapl/?partner=YahooSA&amp;yptr=yahoo via https://finzine.com',None
None,b'$AAPL Apple has reportedly hired ex-NASA and Tesla staffers to boost its self-driving... http://www.cnbc.com/id/104424156?__source=yahoo%7Cfinance%7Cheadline%7Cheadline%7Cstory&amp;par=yahoo&amp;doc=104424156&amp;yptr=yahoo via https://finzine.com',Bullish
None,b'$AAPL hires Jeff Norris from #NASA to help build future products - Bloomberg \nhttp://www.32trades.com/aapl/',None
None,b'$AAPL The Apple Watch turned 2# but there might not be a lot to celebrate http://finance.yahoo.com/news/apple-watch-turned-2-might-073355431.html via https://finzine.com',None
Bullish,b'$BBRY $AAPL $TWTR $TSLA $FB $NVDA $AMZN $GOOG $SP500 My fav stocks in my watchlist http://hubs.ly/H07cT3M0',None
None,b'$AAPL taps NASA AR specialist to help run own AR efforts# Bloomberg says https://bloom.bg/2pZDyfn',None
None,b'http://bgr.com/2017/04/23/iphone-8-release-date-refresh-upgrade/amp/ $AAPL BULLISH http://bgr.com/2017/04/23/iphone-8-release-date-refresh-upgrade/amp/',None
Bullish,b'$AAPL shame on you ! Expecting 1-2 trillion markcap EASY 200-300 a share on sugar monitoring watch',Bullish
None,b'$SPY $AAPL $GOOG $NFLX $FB $BAC $JPM $GS $NVDA no N. Korea nuke test today. Market rallying again!',None
None,b'$BBRY $AAPL $TWTR $SNAP $TSLA $FB $NVDA $AMZN $GOOG $SP500 Trump Tax Reform Plan \x96 It\x92s not all glitter &amp; US Market http://hubs.ly/H07cT3M0',None
None,b'$TSLA $HPQ $AMZN $V $AAPL $SPY',None
Bullish,b'$AMD $PME $AAPL',None
None,b'Wolfe Research&#39;s picks seen riding through a volatile market $AAPL $AMGN $BAC $C $CBS $DAL $GE $GLW $JPM $MCK $MS $PRU $TEL $TSN $YUM',Bearish
None,b'$AAPL $GOOGL $BBRY $MSFT $MU https://www.forbes.com/sites/jaysomaney/2017/04/24/is-apple-intentionally-going-to-delay-the-high-end-iphone-8-launch/#5c9e1b506b95',Bearish
Bullish,b'$AAPL',None
None,b'$AAPL I have to admit this has been a very consistent in regards to price movement this year; along with FB',None
Bullish,b'$AAPL waiting patiently for past 2 years for iphone 8 to switch out my iphone 6 plus',None
Bullish,b'$AAPL Analysts See 250 Million Apple iPhone Shipments',None
Bullish,b'@WSNA Phil is the herald of this $AAPL space. \nThanks for all the info!',None
Bullish,b'$AAPL \x93iPhone 8 To Account For 50% Of Apple&#39;s Total Smartphone Output This Year Claims Morgan Stanley\x94\n\nhttp://wccftech.com/iphone-8-tsunami-supercycle/',Bearish
